position,driver_number,lap_duration,meeting_key,session_key
1,1,87.294,1258,10018
2,81,87.304,1258,10018
3,63,87.407,1258,10018
4,16,87.67,1258,10018
5,12,87.866,1258,10018
6,55,88.164,1258,10018
7,44,88.201,1258,10018
8,22,88.204,1258,10018
9,10,88.367,1258,10018
10,4,,1258,10018
11,23,88.109,1258,10018
12,30,88.191,1258,10018
13,14,88.303,1258,10018
14,6,88.418,1258,10018
15,87,88.648,1258,10018
16,18,88.645,1258,10018
17,7,88.739,1258,10018
18,27,88.782,1258,10018
19,31,89.092,1258,10018
20,5,89.462,1258,10018
